invoice_id,received_date,week_ending,channel,supplier_tier,processor_id,shift,month_end_period,invoice_amount_eur,error_flag,error_type,rework_minutes,days_to_pay
INV-000001,2026-06-01,2026-06-05,email_pdf,tier_3_tail,AP-05,early,0,471.56,0,,0.0,14
INV-000002,2026-06-02,2026-06-05,email_pdf,tier_1_strategic,AP-05,late,0,2420.53,0,,0.0,19
INV-000003,2026-06-01,2026-06-05,email_pdf,tier_2_preferred,AP-02,early,0,723.24,1,missing_po,19.0,33
INV-000004,2026-06-02,2026-06-05,email_pdf,tier_3_tail,AP-03,late,0,4118.76,0,,0.0,17
INV-000005,2026-06-05,2026-06-05,email_pdf,tier_3_tail,AP-05,early,0,2150.87,0,,0.0,18
INV-000006,2026-06-04,2026-06-05,email_pdf,tier_3_tail,AP-01,early,0,210.84,1,missing_po,19.8,33
INV-000007,2026-06-04,2026-06-05,supplier_portal,tier_1_strategic,AP-05,early,0,1177.73,0,,0.0,17
INV-000008,2026-06-05,2026-06-05,supplier_portal,tier_3_tail,AP-04,late,0,1437.55,0,,0.0,14
INV-000009,2026-06-01,2026-06-05,supplier_portal,tier_2_preferred,AP-01,early,0,662.49,0,,0.0,18
INV-000010,2026-06-02,2026-06-05,supplier_portal,tier_2_preferred,AP-06,late,0,5104.23,0,,0.0,12
INV-000011,2026-06-05,2026-06-05,email_pdf,tier_3_tail,AP-04,early,0,4918.67,1,tax_code,16.2,35
INV-000012,2026-06-05,2026-06-05,email_pdf,tier_3_tail,AP-06,early,0,6579.19,0,,0.0,19
INV-000013,2026-06-02,2026-06-05,supplier_portal,tier_1_strategic,AP-05,early,0,1109.23,0,,0.0,20
INV-000014,2026-06-01,2026-06-05,supplier_portal,tier_3_tail,AP-05,late,0,1974.83,0,,0.0,14
INV-000015,2026-06-04,2026-06-05,supplier_portal,tier_1_strategic,AP-06,early,0,1643.56,1,qty_mismatch,8.1,32
INV-000016,2026-06-04,2026-06-05,edi,tier_2_preferred,AP-07,late,0,7120.81,0,,0.0,17
INV-000017,2026-06-02,2026-06-05,supplier_portal,tier_1_strategic,AP-03,early,0,5511.1,0,,0.0,19
INV-000018,2026-06-03,2026-06-05,supplier_portal,tier_2_preferred,AP-01,early,0,1854.2,0,,0.0,12
INV-000019,2026-06-01,2026-06-05,edi,tier_1_strategic,AP-05,early,0,895.92,0,,0.0,15
INV-000020,2026-06-04,2026-06-05,email_pdf,tier_3_tail,AP-01,early,0,2025.95,1,qty_mismatch,10.7,37
INV-000021,2026-06-01,2026-06-05,email_pdf,tier_3_tail,AP-07,late,0,2693.73,0,,0.0,19
INV-000022,2026-06-04,2026-06-05,email_pdf,tier_3_tail,AP-01,early,0,263.27,1,missing_po,13.6,16
INV-000023,2026-06-02,2026-06-05,email_pdf,tier_1_strategic,AP-03,early,0,1591.06,0,,0.0,21
INV-000024,2026-06-05,2026-06-05,email_pdf,tier_2_preferred,AP-01,late,0,826.26,0,,0.0,19
INV-000025,2026-06-03,2026-06-05,email_pdf,tier_3_tail,AP-04,early,0,1390.94,0,,0.0,12
INV-000026,2026-06-05,2026-06-05,email_pdf,tier_3_tail,AP-02,early,0,9956.38,1,missing_po,18.0,20
INV-000027,2026-06-03,2026-06-05,supplier_portal,tier_2_preferred,AP-06,late,0,10419.02,0,,0.0,17
INV-000028,2026-06-01,2026-06-05,supplier_portal,tier_3_tail,AP-03,early,0,7184.23,1,price_mismatch,12.1,37
INV-000029,2026-06-02,2026-06-05,supplier_portal,tier_2_preferred,AP-02,early,0,3808.16,0,,0.0,20
