appraiser,invoice_id,trial,rating,reference_standard
appraiser_A,INV-000757,1,clean,clean
appraiser_A,INV-000757,2,clean,clean
appraiser_B,INV-000757,1,clean,clean
appraiser_B,INV-000757,2,clean,clean
appraiser_C,INV-000757,1,error,clean
appraiser_C,INV-000757,2,clean,clean
appraiser_A,INV-002747,1,clean,clean
appraiser_A,INV-002747,2,clean,clean
appraiser_B,INV-002747,1,clean,clean
appraiser_B,INV-002747,2,clean,clean
appraiser_C,INV-002747,1,clean,clean
appraiser_C,INV-002747,2,clean,clean
appraiser_A,INV-004760,1,error,error
appraiser_A,INV-004760,2,error,error
appraiser_B,INV-004760,1,error,error
appraiser_B,INV-004760,2,error,error
appraiser_C,INV-004760,1,error,error
appraiser_C,INV-004760,2,error,error
appraiser_A,INV-000681,1,clean,clean
appraiser_A,INV-000681,2,clean,clean
appraiser_B,INV-000681,1,clean,clean
appraiser_B,INV-000681,2,clean,clean
appraiser_C,INV-000681,1,clean,clean
appraiser_C,INV-000681,2,clean,clean
appraiser_A,INV-002878,1,clean,clean
appraiser_A,INV-002878,2,clean,clean
appraiser_B,INV-002878,1,clean,clean
appraiser_B,INV-002878,2,clean,clean
appraiser_C,INV-002878,1,error,clean
appraiser_C,INV-002878,2,clean,clean
appraiser_A,INV-000408,1,error,error
appraiser_A,INV-000408,2,error,error
appraiser_B,INV-000408,1,error,error
appraiser_B,INV-000408,2,clean,error
appraiser_C,INV-000408,1,error,error
appraiser_C,INV-000408,2,clean,error
appraiser_A,INV-000162,1,clean,clean
appraiser_A,INV-000162,2,error,clean
appraiser_B,INV-000162,1,clean,clean
appraiser_B,INV-000162,2,error,clean
appraiser_C,INV-000162,1,clean,clean
appraiser_C,INV-000162,2,clean,clean
appraiser_A,INV-002204,1,clean,clean
appraiser_A,INV-002204,2,clean,clean
appraiser_B,INV-002204,1,clean,clean
appraiser_B,INV-002204,2,clean,clean
appraiser_C,INV-002204,1,clean,clean
appraiser_C,INV-002204,2,clean,clean
appraiser_A,INV-003848,1,clean,clean
appraiser_A,INV-003848,2,clean,clean
appraiser_B,INV-003848,1,clean,clean
appraiser_B,INV-003848,2,clean,clean
appraiser_C,INV-003848,1,clean,clean
appraiser_C,INV-003848,2,clean,clean
appraiser_A,INV-001460,1,clean,clean
appraiser_A,INV-001460,2,clean,clean
appraiser_B,INV-001460,1,error,clean
appraiser_B,INV-001460,2,clean,clean
appraiser_C,INV-001460,1,clean,clean
appraiser_C,INV-001460,2,clean,clean
appraiser_A,INV-003844,1,clean,clean
appraiser_A,INV-003844,2,error,clean
appraiser_B,INV-003844,1,clean,clean
appraiser_B,INV-003844,2,clean,clean
appraiser_C,INV-003844,1,clean,clean
appraiser_C,INV-003844,2,error,clean
appraiser_A,INV-003166,1,error,error
appraiser_A,INV-003166,2,error,error
appraiser_B,INV-003166,1,error,error
appraiser_B,INV-003166,2,clean,error
appraiser_C,INV-003166,1,error,error
appraiser_C,INV-003166,2,clean,error
appraiser_A,INV-004795,1,clean,clean
appraiser_A,INV-004795,2,clean,clean
appraiser_B,INV-004795,1,clean,clean
appraiser_B,INV-004795,2,clean,clean
appraiser_C,INV-004795,1,clean,clean
appraiser_C,INV-004795,2,error,clean
appraiser_A,INV-002741,1,clean,clean
appraiser_A,INV-002741,2,error,clean
appraiser_B,INV-002741,1,clean,clean
appraiser_B,INV-002741,2,clean,clean
appraiser_C,INV-002741,1,clean,clean
appraiser_C,INV-002741,2,clean,clean
appraiser_A,INV-002589,1,clean,clean
appraiser_A,INV-002589,2,clean,clean
appraiser_B,INV-002589,1,clean,clean
appraiser_B,INV-002589,2,clean,clean
appraiser_C,INV-002589,1,error,clean
appraiser_C,INV-002589,2,error,clean
appraiser_A,INV-003111,1,clean,clean
appraiser_A,INV-003111,2,clean,clean
appraiser_B,INV-003111,1,clean,clean
appraiser_B,INV-003111,2,clean,clean
appraiser_C,INV-003111,1,error,clean
appraiser_C,INV-003111,2,clean,clean
appraiser_A,INV-004286,1,clean,clean
appraiser_A,INV-004286,2,clean,clean
appraiser_B,INV-004286,1,clean,clean
appraiser_B,INV-004286,2,clean,clean
appraiser_C,INV-004286,1,clean,clean
appraiser_C,INV-004286,2,error,clean
appraiser_A,INV-002274,1,clean,clean
appraiser_A,INV-002274,2,error,clean
appraiser_B,INV-002274,1,error,clean
appraiser_B,INV-002274,2,clean,clean
appraiser_C,INV-002274,1,error,clean
appraiser_C,INV-002274,2,clean,clean
appraiser_A,INV-000652,1,clean,clean
appraiser_A,INV-000652,2,clean,clean
appraiser_B,INV-000652,1,clean,clean
appraiser_B,INV-000652,2,clean,clean
appraiser_C,INV-000652,1,clean,clean
appraiser_C,INV-000652,2,clean,clean
appraiser_A,INV-003445,1,clean,clean
appraiser_A,INV-003445,2,clean,clean
appraiser_B,INV-003445,1,clean,clean
appraiser_B,INV-003445,2,clean,clean
appraiser_C,INV-003445,1,error,clean
appraiser_C,INV-003445,2,error,clean
appraiser_A,INV-003289,1,clean,clean
appraiser_A,INV-003289,2,clean,clean
appraiser_B,INV-003289,1,error,clean
appraiser_B,INV-003289,2,clean,clean
appraiser_C,INV-003289,1,clean,clean
appraiser_C,INV-003289,2,clean,clean
appraiser_A,INV-003227,1,clean,clean
appraiser_A,INV-003227,2,clean,clean
appraiser_B,INV-003227,1,clean,clean
appraiser_B,INV-003227,2,error,clean
appraiser_C,INV-003227,1,error,clean
appraiser_C,INV-003227,2,error,clean
appraiser_A,INV-005200,1,clean,clean
appraiser_A,INV-005200,2,clean,clean
appraiser_B,INV-005200,1,clean,clean
appraiser_B,INV-005200,2,clean,clean
appraiser_C,INV-005200,1,clean,clean
appraiser_C,INV-005200,2,clean,clean
appraiser_A,INV-002154,1,error,clean
appraiser_A,INV-002154,2,clean,clean
appraiser_B,INV-002154,1,error,clean
appraiser_B,INV-002154,2,clean,clean
appraiser_C,INV-002154,1,error,clean
appraiser_C,INV-002154,2,error,clean
appraiser_A,INV-000247,1,clean,clean
appraiser_A,INV-000247,2,clean,clean
appraiser_B,INV-000247,1,clean,clean
appraiser_B,INV-000247,2,error,clean
appraiser_C,INV-000247,1,clean,clean
appraiser_C,INV-000247,2,clean,clean
appraiser_A,INV-003376,1,clean,clean
appraiser_A,INV-003376,2,clean,clean
appraiser_B,INV-003376,1,clean,clean
appraiser_B,INV-003376,2,clean,clean
appraiser_C,INV-003376,1,clean,clean
appraiser_C,INV-003376,2,clean,clean
appraiser_A,INV-002991,1,clean,clean
appraiser_A,INV-002991,2,error,clean
appraiser_B,INV-002991,1,clean,clean
appraiser_B,INV-002991,2,error,clean
appraiser_C,INV-002991,1,error,clean
appraiser_C,INV-002991,2,error,clean
appraiser_A,INV-003560,1,clean,clean
appraiser_A,INV-003560,2,error,clean
appraiser_B,INV-003560,1,clean,clean
appraiser_B,INV-003560,2,clean,clean
appraiser_C,INV-003560,1,error,clean
appraiser_C,INV-003560,2,clean,clean
appraiser_A,INV-000150,1,clean,clean
appraiser_A,INV-000150,2,clean,clean
appraiser_B,INV-000150,1,clean,clean
appraiser_B,INV-000150,2,clean,clean
appraiser_C,INV-000150,1,error,clean
appraiser_C,INV-000150,2,clean,clean
appraiser_A,INV-003751,1,clean,clean
appraiser_A,INV-003751,2,clean,clean
appraiser_B,INV-003751,1,clean,clean
appraiser_B,INV-003751,2,clean,clean
appraiser_C,INV-003751,1,clean,clean
appraiser_C,INV-003751,2,clean,clean
